output_id	question_id	listNum	otherLang	itemName	cond	expt	prompt	answer
1	1	0	no	facebook	announce	inf	"Judith is a woman from the US. Judith has a brother, Bill. Bill announced to me that Judith has ___ Facebook friendsXXX 207 XXX 268"	high
1	2	0	no	correct3	FILLER	FILLER	"My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men.' It's true that there are only ___ hours in a day.  XXX 24 XXX 8"	low
1	3	0	no	shoes	announce	inf	"Melanie is a woman from the US. Melanie has a colleague, Bob. Bob announced to me that Melanie owns ___ pairs of shoesXXX 73 XXX 152"	high
1	4	0	no	cook	announce	inf	"Tony is a man from the US. Nick has a sister, Emily. Emily announced to me that Tony cooked __ meals at home last monthXXX 12 XXX 17"	high
1	5	0	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The ___ days of Christmas' XXX 14 XXX 12	high
1	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	11	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	13	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	15	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	17	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	18	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	19	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	1	1	no	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own ___ feet. XXX 6 XXX 2	high
2	2	1	no	movie	announce	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie announced to me that Nick saw ___ movies last yearXXX 33 XXX 36	high
2	3	1	no	friends	announce	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon announced to me that Lelia has ___ friendsXXX 10 XXX 14	high
2	4	1	no	speculation1	FILLER	FILLER	Corey and Charlotte are professional tuba players. They recently had a conversation about how old the tuba actually is. They concluded that the tuba is at most ___ years old. XXX 151 XXX 217	low
2	5	1	no	restaurants	announce	inf	"Sarah is a woman from the US. Sarah has an acquaintance, Eric. Eric announced to me that Sarah went to __ restaurants last yearXXX 46 XXX 78"	high
2	6	1	no	facebook	think	inf	"Judith is a woman from the US. Judith has a brother, Bill. Bill thinks that Judith has ___ Facebook friendsXXX 207 XXX 268"	high
2	7	1	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The ___ days of Christmas' XXX 14 XXX 12	high
2	8	1	no	class	announce	inf	"Erin is a first grade student in primary school. Erin has an uncle, Josh. Josh announced to me that there are ___ children in Erin's class.XXX 24  XXX 27"	low
2	9	1	no	tshirts	announce	inf	Liam is a man from the US. Liam lives down the street from Rebecca. Rebecca announced to me that Liam has __ T-shirtsXXX 21 XXX 29	high
2	10	1	no	cook	think	inf	"Tony is a man from the US. Nick has a sister, Emily. Emily thinks that Tony cooked ___ meals at home last monthXXX 12 XXX 17"	low
2	11	1	no	speculation2	FILLER	FILLER	The Grongitts went to a barbecue party again last weekend. Mr Grongitts was very bored. He decided he would not visit another barbecue party for at least ___ weeks. XXX 4 XXX 6	high
2	12	1	no	calls	think	inf	"Lisa is a woman from the US. Lisa has a friend, Kevin. Kevin thinks that Lisa made __ phone calls last weekXXX 22 XXX 32"	low
2	13	1	no	correct3	FILLER	FILLER	"My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men.' It's true that there are only ___ hours in a day.  XXX 24 XXX 8"	low
2	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	15	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	17	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	18	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	19	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3	1	0	no	facebook	announce	inf	"Judith is a woman from the US. Judith has a brother, Bill. Bill announced to me that Judith has ___ Facebook friendsXXX 207 XXX 268"	low
3	2	0	no	correct1	FILLER	FILLER	No one knows exactly when the Roman alphabet was first invented. The letters correspond roughly to spoken sounds but not exactly. There are __ letters in the modern alphabet. XXX 26 XXX 70	low
3	3	0	no	hair	announce	inf	Betty is a woman from the US. Betty works at an office with David. David announced to me that Betty washed her hair ___ times last monthXXX 21 XXX 27	low
